Date,Time,Duration
02/15/2019,11:19,0:71:15
02/16/2019,,
02/17/2019,,
02/18/2019,,
02/19/2019,,
02/20/2019,,
02/21/2019,,
02/22/2019,,
02/23/2019,,
02/24/2019,,
02/25/2019,,
02/26/2019,,
02/27/2019,,
02/28/2019,,
03/01/2019,,
03/02/2019,,
03/03/2019,,
03/04/2019,,
03/05/2019,,
03/06/2019,,
03/07/2019,,
03/08/2019,,
03/09/2019,,
03/10/2019,,
03/11/2019,,
03/12/2019,,
03/13/2019,,
03/14/2019,,
03/15/2019,,
03/16/2019,,
03/17/2019,,
03/18/2019,,
03/19/2019,,
03/20/2019,,
03/21/2019,,
03/22/2019,,
03/23/2019,,
03/24/2019,,
03/25/2019,,
03/26/2019,,
03/27/2019,,
03/28/2019,,
03/29/2019,,
03/30/2019,,
03/31/2019,,
04/01/2019,,
04/02/2019,,
04/03/2019,,
04/04/2019,,
04/05/2019,,
04/06/2019,,
04/07/2019,,
04/08/2019,,
04/09/2019,,
04/10/2019,,
04/11/2019,,
04/12/2019,,
04/13/2019,,
04/14/2019,,
04/15/2019,,
04/16/2019,,
04/17/2019,,
04/18/2019,,
04/19/2019,,
04/20/2019,,
04/21/2019,,
04/22/2019,,
04/23/2019,,
04/24/2019,,
04/25/2019,,
04/26/2019,,
04/27/2019,,
04/28/2019,,
04/29/2019,,
04/30/2019,,
05/01/2019,,
05/02/2019,,
05/03/2019,,
05/04/2019,,
05/05/2019,,
05/06/2019,,
05/07/2019,,
05/08/2019,,
05/09/2019,,
05/10/2019,,
05/11/2019,,
05/12/2019,,
05/13/2019,,
05/14/2019,,
05/15/2019,,
05/16/2019,,
05/17/2019,,
05/18/2019,,
05/19/2019,,
05/20/2019,,
05/21/2019,,
05/22/2019,,
05/23/2019,,
05/24/2019,,
05/25/2019,,
05/26/2019,,
05/27/2019,,
05/28/2019,,
05/29/2019,,
05/30/2019,,
05/31/2019,,
06/01/2019,,
06/02/2019,,
06/03/2019,,
06/04/2019,,
06/05/2019,,
06/06/2019,,
06/07/2019,,
06/08/2019,,
06/09/2019,,
06/10/2019,,
06/11/2019,,
06/12/2019,,
06/13/2019,,
06/14/2019,,
06/15/2019,,
06/16/2019,,
06/17/2019,,
06/18/2019,,
06/19/2019,,
06/20/2019,,
06/21/2019,,
06/22/2019,,
06/23/2019,,
06/24/2019,,
06/25/2019,,
06/26/2019,,
06/27/2019,,
06/28/2019,,
06/29/2019,,
06/30/2019,,
07/01/2019,,
07/02/2019,,
07/03/2019,,
07/04/2019,,
07/05/2019,,
07/06/2019,,
07/07/2019,,
07/08/2019,,
07/09/2019,,
07/10/2019,,
07/11/2019,,
07/12/2019,,
07/13/2019,,
07/14/2019,00:03,0:13:34
,8:20,0:17:58
,23:18,0:06:07
07/15/2019,6:44,0:07:32
,22:45,0:18:49
07/16/2019,6:40,0:10:45
,16:36,0:25:58
,21:44,0:12:26
07/17/2019,5:42,0:04:40
,17:23,0:06:02
,22:09,0:19:27
07/18/2019,15:45,0:22:38
,22:36,0:09:21
07/19/2019,,
07/20/2019,00:58,0:11:59
,1:09,0:06:56
,9:05,0:29:22
,11:34,0:03:15
07/21/2019,8:44,0:02:35
,11:27,0:17:14
,20:29,0:22:36
07/22/2019,22:03,0:23:32
07/23/2019,6:13,0:15:32
,16:16,0:06:01
,22:10,0:10:45
07/24/2019,6:00,0:12:09
,17:17,0:08:24
07/25/2019,6:18,0:11:07
,16:35,0:11:58
,21:43,0:18:22
07/26/2019,16:20,0:10:50
,21:40,0:07:35
07/27/2019,7:39,0:22:05
,22:30,0:13:36
07/28/2019,7:58,0:21:36
,12:02,0:09:25
07/29/2019,22:09,0:12:20
,22:38,0:09:39
07/30/2019,5:59,0:10:48
,21:10,0:12:39
07/31/2019,5:53,0:14:46
,22:53,0:12:18
08/01/2019,16:06,0:07:59
,22:37,0:12:15
08/02/2019,6:18,0:27:46
,15:48,0:34:43
08/03/2019,,
08/04/2019,13:24,0:06:37
,23:04,0:21:48
,23:32,0:04:25
08/05/2019,16:34,0:12:38
,16:57,0:03:55
,22:32,0:15:27
08/06/2019,17:07,0:01:11
08/07/2019,6:00,0:07:57
08/08/2019,7:01,0:13:01
,16:24,0:12:34
,22:55,0:12:10
,23:17,0:06:25
08/09/2019,7:02,0:09:56
,16:15,0:12:50
,22:38,0:16:19
08/10/2019,8:44,0:15:28
08/11/2019,12:19,0:07:18
,22:10,0:18:25
08/12/2019,6:25,0:22:16
,8:08,0:08:28
,22:19,0:13:33
08/13/2019,16:56,0:14:49
,21:48,0:14:27
08/14/2019,6:44,0:06:01
,22:30,0:10:06
08/15/2019,5:54,0:06:06
,22:56,0:15:27
08/16/2019,22:48,0:13:35
08/17/2019,7:02,0:09:28
08/18/2019,7:34,0:06:58
,15:56,0:00:40
,16:37,0:04:06
08/19/2019,10:13,0:13:04
08/20/2019,11:18,0:10:48
08/21/2019,15:42,0:16:38
08/22/2019,9:11,0:17:59
08/23/2019,8:02,0:23:57
08/24/2019,11:26,0:02:15
,14:00,0:05:14
08/25/2019,9:10,0:04:32
,22:31,0:04:14
08/26/2019,7:48,0:22:59
,9:21,0:06:47
08/27/2019,8:36,0:25:19
,9:17,0:03:18
